X,Filing Date,Trade Date,Ticker,Company Name,Insider Name,Title,Trade Type  ,Price,Qty,Owned,ΔOwn,Value
,2022-04-01 16:20:06,2022-03-31, PTCT,"Ptc Therapeutics Inc.",Hill Emily Luisa,CFO,S - Sale,$37.78,"-7,910","29,259",-21%,"-$298,824"
,2022-04-01 16:18:19,2022-03-31, CRVS,"Corvus Pharmaceuticals Inc.",Miller Richard A Md,"Pres, CEO",P - Purchase,$1.64,"+15,000","1,369,229",+1%,"+$24,534"
,2022-04-01 16:16:39,2022-03-30, NBSE,"Neubase Therapeutics Inc.",Mann William Roland,COO,P - Purchase,$1.92,"+6,200","11,200",+124%,"+$11,904"
M,2022-04-01 16:15:28,2022-03-30, AAIC,Arlington Asset Investment Corp.,Tonkel J Rock Jr,"Pres, CEO",P - Purchase,$3.52,"+20,000","794,848",+3%,"+$70,370"
DM,2022-04-01 16:14:39,2022-03-30, EXPI,"Exp World Holdings Inc.",Sanford Glenn Darrel,"CEO, COB, 10%",S - Sale+OE,$22.33,"-18,000","42,034,338",0%,"-$401,936"
D,2022-04-01 16:12:41,2022-03-31, LPI,"Laredo Petroleum Inc.",Pigott M. Jason,"Pres, CEO",S - Sale+OE,$81.88,"-5,531","125,089",-4%,"-$452,878"
,2022-04-01 16:10:02,2022-03-30, HZNP,Horizon Therapeutics Public Ltd Co,Walbert Timothy P,"COB, Pres, CEO",S - Sale,$105.26,"-50,000","734,511",-6%,"-$5,262,787"
,2022-04-01 16:09:51,2022-04-01, GNRC,Generac Holdings Inc.,Jagdfeld Aaron,CEO,S - Sale,$298.74,"-5,000","630,975",-1%,"-$1,493,700"
D,2022-04-01 16:09:43,2022-04-01, FDS,Factset Research Systems Inc,Snow Frederick Philip,CEO,S - Sale+OE,$435.37,"-2,500","3,988",-39%,"-$1,088,425"
D,2022-04-01 16:07:02,2022-04-01, REGN,"Regeneron Pharmaceuticals Inc.",Landry Robert E,EVP Finance CFO,S - Sale+OE,$695.81,-316,"28,973",-1%,"-$219,875"
M,2022-04-01 16:04:57,2022-03-30, MRNA,"Moderna Inc.",Bancel Stephane,CEO,S - Sale,$175.98,"-19,000","21,474,787",0%,"-$3,343,645"
D,2022-04-01 16:04:13,2022-03-30, ENTG,Entegris Inc,Edlund Todd James,"EVP, COO",S - Sale+OE,$137.32,"-24,289","175,399",-12%,"-$3,335,408"
D,2022-04-01 16:02:58,2022-03-31, ENTG,Entegris Inc,Graves Gregory B,"EVP, CFO",S - Sale+OE,$133.10,"-12,142","20,980",-37%,"-$1,616,092"
,2022-04-01 15:51:19,2022-04-01, NA,Lake Area Corn Processors LLC,Scott Alan Mundt,CEO,P - Purchase,$2.70,"+6,500","76,500",+9%,"+$17,540"
DM,2022-04-01 14:56:18,2022-03-30, AIR,Aar Corp,Holmes John McClain III,"Pres, CEO",S - Sale+OE,$49.01,"-11,765","244,041",-5%,"-$576,642"
D,2022-04-01 14:10:59,2022-03-31, WLK,Westlake Corp,Bender Mark Steven,"EVP, CFO",S - Sale+OE,$124.35,"-6,021","30,725",-16%,"-$748,734"
,2022-04-01 14:08:45,2022-03-30, FRAF,Franklin Financial Services Corp /pa/,Hollar Mark R,CFO,P - Purchase,$34.49,+3,"7,758",0%,+$103
,2022-04-01 12:37:24,2022-03-31, REPX,"Riley Exploration Permian Inc.",Riley Philip A,"CFO, EVP STRATEGY",P - Purchase,$24.50,+500,"45,092",+1%,"+$12,250"
,2022-04-01 12:21:19,2022-04-01, DHIL,Diamond Hill Investment Group Inc,Brilliant Heather E,CEO,S - Sale,$187.30,-297,"38,814",-1%,"-$55,628"
,2022-04-01 12:17:19,2022-04-01, DHIL,Diamond Hill Investment Group Inc,Line Thomas Edward,CFO,S - Sale,$187.30,-166,"21,263",-1%,"-$31,092"
,2022-04-01 10:56:52,2022-03-31, EDSA,"Edesa Biotech Inc.",Nijhawan Pardeep,"CEO, 10%",P - Purchase,$2.99,"+2,000","3,292,285",0%,"+$5,972"
D,2022-04-01 08:35:39,2022-03-31, LCII,Lci Industries,Lippert Jason,"Pres,amp; CEO",P - Purchase,$108.00,"+9,265","298,992",+3%,"+$1,000,620"
,2022-04-01 06:05:10,2022-03-30, TCON,"Tracon Pharmaceuticals Inc.",Theuer Charles,"Pres, CEO",P - Purchase,$2.70,"+4,000","224,518",+2%,"+$10,800"
,2022-03-31 21:46:46,2022-03-30, TMC,Tmc the Metals Co Inc.,Barron Gerard,CEO,P - Purchase,$2.19,"+23,000","15,291,809",0%,"+$50,370"
,2022-03-31 21:33:51,2022-03-29, GIII,G III Apparel Group Ltd /de/,Nackman Neal,"CFO, Treas",S - Sale,$29.06,"-15,000","95,625",-14%,"-$435,900"
,2022-03-31 20:51:58,2022-03-31, ORIC,"Oric Pharmaceuticals Inc.",Piscitelli Dominic,CFO,P - Purchase,$5.36,"+60,000","60,000",New,"+$321,624"
D,2022-03-31 20:38:48,2022-03-29, DEA,"Easterly Government Properties Inc.",Trimble William C.,"Pres, CEO",S - Sale+OE,$21.40,"-7,000","91,279",-7%,"-$149,800"
,2022-03-31 20:18:01,2022-03-29, BLFS,Biolife Solutions Inc,Rice Michael,CEO,S - Sale,$22.24,-830,"327,155",0%,"-$18,459"
,2022-03-31 20:04:41,2022-03-29, AXNX,"Axonics Inc.",Cohen Raymond W,CEO,S - Sale,$60.00,"-50,000","193,635",-21%,"-$3,000,000"
,2022-03-31 19:46:08,2022-03-28, MULN,Mullen Automotive Inc.,Michery David,"CEO, Pres, 10%",S - Sale,$2.48,"-300,000","8,661,066",-3%,"-$744,116"
D,2022-03-31 19:38:57,2022-03-29, TW,Tradeweb Markets Inc.,Olesky Lee,CEO,S - Sale+OE,$90.59,-500,"270,377",0%,"-$45,294"
D,2022-03-31 19:22:35,2022-03-31, CRM,"Salesforce.Com Inc.",Benioff Marc,"COB, co-CEO",S - Sale+OE,$214.30,"-2,300","28,918,241",0%,"-$492,887"
,2022-03-31 19:08:21,2022-03-29, MMI,"Marcus & Millichap Inc.",Nadji Hessam,CEO,S - Sale,$50.27,"-10,000","175,058",-5%,"-$502,691"
,2022-03-31 18:30:13,2022-03-29, SWKS,"Skyworks Solutions Inc.",Griffin Liam,"COB, CEO, Pres",S - Sale,$140.00,"-10,000","65,296",-13%,"-$1,400,000"
,2022-03-31 18:18:54,2022-03-29, KFRC,Kforce Inc,Kelly David M,"EVP, CFO",S - Sale,$75.44,"-5,000","96,407",-5%,"-$377,200"
,2022-03-31 17:45:20,2022-03-29, RLAY,"Relay Therapeutics Inc.",Catinazzo Thomas,CFO,S - Sale,$29.87,-282,"53,977",-1%,"-$8,423"
,2022-03-31 17:32:08,2022-03-31, SSRM,Ssr Mining Inc.,White Alison Lynn,CFO,S - Sale,$22.07,"-4,223","45,808",-8%,"-$93,202"
M,2022-03-31 17:29:12,2022-03-29, TRU,Transunion,Cello Todd M,"EVP, CFO",S - Sale,$105.00,-392,"73,442",-1%,"-$41,160"
D,2022-03-31 17:16:50,2022-03-29, LIVN,Livanova Plc,McDonald Damien,CEO,S - Sale+OE,$81.50,"-2,784","85,969",-3%,"-$226,896"
,2022-03-31 17:05:01,2022-03-29, NVST,Envista Holdings Corp,Aghdaei Amir,CEO,S - Sale,$51.66,"-10,538","364,779",-3%,"-$544,391"
,2022-03-31 17:01:00,2022-03-31, AOUT,"American Outdoor Brands Inc.",Fulmer Hugh Andrew,"EVP, CFO, Treasurer",P - Purchase,$13.55,"+3,700","52,273",+8%,"+$50,152"
,2022-03-31 17:00:42,2022-03-29, VRM,"Vroom Inc.",Hennessy Paul J.,CEO,S - Sale,$2.94,"-19,389","326,989",-6%,"-$57,087"
DM,2022-03-31 16:55:46,2022-03-30, SO,Southern Co,"Greene Kimberly S,","COB, Pres, CEO, GAS",S - Sale+OE,$72.70,"-100,005","123,120",-45%,"-$7,270,532"
D,2022-03-31 16:52:14,2022-03-30, ASMB,"Assembly Biosciences Inc.",Samar Michael P.,CFO,S - Sale+OE,$2.17,"-2,285","76,748",-3%,"-$4,953"
D,2022-03-31 16:48:49,2022-03-29, PZN,"Pzena Investment Management Inc.",Pzena Richard Stanton,"COB, CEO, Co-CIO",P - Purchase,$5.45,"+779,586","24,783,304",+3%,"+$4,248,744"
D,2022-03-31 16:48:49,2022-03-29, PZN,"Pzena Investment Management Inc.",Pzena Richard Stanton,"COB, CEO, Co-CIO",S - Sale+OE,$5.45,"-779,586","24,783,304",-3%,"-$4,248,744"
D,2022-03-31 16:41:02,2022-03-30, ASMB,"Assembly Biosciences Inc.",Okazaki Jason A,COO,S - Sale+OE,$2.17,"-1,269","94,614",-1%,"-$2,750"
D,2022-03-31 16:40:06,2022-03-29, PINS,"Pinterest Inc.",Morgenfeld Todd R,CFO,S - Sale+OE,$26.37,"-53,016","641,025",-8%,"-$1,398,213"
,2022-03-31 16:39:43,2022-03-31, JNPR,Juniper Networks Inc,Leelanivas Manoj,EVP COO,S - Sale,$38.00,"-13,366","108,504",-11%,"-$507,908"
D,2022-03-31 16:36:52,2022-03-30, ASMB,"Assembly Biosciences Inc.",McHutchison John G,"CEO, Pres",S - Sale+OE,$2.17,"-4,614","204,829",-2%,"-$10,000"
,2022-03-31 16:35:30,2022-03-29, USAU,U.S. Gold Corp.,Bee George M,"CEO, Pres",P - Purchase,$7.15,"+1,567","389,527",0%,"+$11,204"
,2022-03-31 16:33:43,2022-03-29, RCL,Royal Caribbean Cruises Ltd,Bayley Michael W,"Pres,CEO,Royal Caribbean Intl",S - Sale,$80.00,"-3,637","116,951",-3%,"-$290,960"
,2022-03-31 16:33:22,2022-03-30, PXD,Pioneer Natural Resources Co,Shah Neal H,"SVP, CFO",S - Sale,$256.97,"-3,500","19,376",-15%,"-$899,392"
D,2022-03-31 16:32:24,2022-03-29, VTR,"Ventas Inc.",Cafaro Debra A,"COB, CEO",S - Sale+OE,$63.40,"-69,602","904,103",-7%,"-$4,412,976"
DM,2022-03-31 16:30:55,2022-03-28, SEDG,"Solaredge Technologies Inc.",Lando Zvi,CEO,S - Sale+OE,$332.74,"-45,199","45,231",-50%,"-$15,039,558"
,2022-03-31 16:30:55,2022-03-29, NXRT,"Nexpoint Residential Trust Inc.",Mitts Brian,"CFO, EVP Finance, Secy, Treas",S - Sale,$90.80,"-1,100","77,488",-1%,"-$99,880"
,2022-03-31 16:25:25,2022-03-31, LFT,"Lument Finance Trust Inc.",Briggs James A,CFO,P - Purchase,$2.73,"+5,000","48,750",+11%,"+$13,645"
D,2022-03-31 16:22:57,2022-03-29, TTD,"Trade Desk Inc.",Grayson Blake Jeffrey,CFO,S - Sale+OE,$72.50,"-6,084","151,803",-4%,"-$441,090"
D,2022-03-31 16:17:19,2022-03-30, CRM,"Salesforce.Com Inc.",Benioff Marc,"COB, co-CEO",S - Sale+OE,$216.02,"-2,300","28,918,241",0%,"-$496,849"
,2022-03-31 16:04:00,2022-03-30, FHI,"Federated Hermes Inc.",Donahue Thomas R,"VP, CFO, Treasurer",S - Sale,$34.18,"-30,000","1,122,274",-3%,"-$1,025,511"
M,2022-03-31 16:03:51,2022-03-29, DV,"Doubleverify Holdings Inc.",Zagorski Mark,CEO,P - Purchase,$25.64,"+19,846","310,422",+7%,"+$508,844"
,2022-03-31 14:24:51,2022-03-29, CMPS,Compass Pathways Plc,Goldsmith George Jay,"CEO, 10%",S - Sale,$12.48,"-12,744","8,552,398",0%,"-$159,045"
D,2022-03-31 13:45:14,2022-03-29, CTAS,Cintas Corp,Hansen J. Michael,"VP, CFO",S - Sale+OE,$424.24,"-8,200","81,110",-9%,"-$3,478,725"
D,2022-03-31 12:16:43,2022-03-30, KN,Knowles Corp,Anderson John S.,"SVP, CFO",S - Sale+OE,$22.77,"-25,000","135,882",-16%,"-$569,250"
D,2022-03-31 11:59:33,2022-03-30, MCB,Metropolitan Bank Holding Corp.,Defazio Mark R,"Pres, CEO",S - Sale+OE,$106.51,"-2,600","81,988",-3%,"-$276,935"
M,2022-03-31 11:43:12,2022-03-29, BROS,Dutch Bros Inc.,Maxwell Brian,COO,S - Sale,$63.73,"-42,000","1,279,620",-3%,"-$2,676,490"
D,2022-03-31 11:18:23,2022-03-30, WLK,Westlake Corp,Bender Mark Steven,"EVP, CFO",S - Sale+OE,$124.80,"-6,000","30,725",-16%,"-$748,810"
,2022-03-31 10:52:48,2022-03-30, EDSA,"Edesa Biotech Inc.",Nijhawan Pardeep,"CEO, 10%",P - Purchase,$3.05,"+2,000","3,290,285",0%,"+$6,098"
D,2022-03-30 21:32:31,2021-09-13, JAGX,"Jaguar Health Inc.",Lizak Carol R.,CFO,P - Purchase,$2.51,"+7,968","7,968",New,"+$20,000"
D,2022-03-30 21:26:54,2021-09-13, JAGX,"Jaguar Health Inc.",Conte Lisa A,"CEO, Pres",P - Purchase,$2.51,"+7,968","8,003",>999%,"+$20,000"
D,2022-03-30 20:33:44,2022-03-28, PRVA,"Privia Health Group Inc.",Mehrotra Parth,"Pres, COO",S - Sale+OE,$25.09,"-20,000","97,391",-17%,"-$501,800"
,2022-03-30 20:27:49,2022-03-30, SBOW,"Silverbow Resources Inc.",Woolverton Sean C,CEO,S - Sale,$35.14,"-10,000","250,721",-4%,"-$351,400"
,2022-03-30 19:57:42,2022-03-29, NEXI,"Neximmune Inc.",Jones Kristi,"Pres, CEO",P - Purchase,$3.74,"+10,000","73,078",+16%,"+$37,400"
,2022-03-30 19:32:50,2022-03-30, TMC,Tmc the Metals Co Inc.,Shesky Craig,CFO,P - Purchase,$1.80,"+15,000","678,316",+2%,"+$26,979"
,2022-03-30 18:59:37,2022-03-28, TRUP,"Trupanion Inc.",Rawlings Darryl,CEO,S - Sale,$90.80,"-4,000","857,109",0%,"-$363,200"
D,2022-03-30 18:51:51,2022-03-29, ESS,"Essex Property Trust Inc.",Kleiman Angela L.,"Sr. EVP, COO",S - Sale+OE,$354.21,"-6,309","8,110",-44%,"-$2,234,710"
D,2022-03-30 18:48:09,2022-03-29, ESS,"Essex Property Trust Inc.",Schall Michael J,"Pres, CEO",S - Sale+OE,$349.19,"-12,132","51,384",-19%,"-$4,236,373"
DM,2022-03-30 18:31:48,2022-03-28, DASH,"Doordash Inc.",Payne Christopher D,"Pres, COO",S - Sale+OE,$114.66,"-44,000","304,402",-13%,"-$5,044,932"
,2022-03-30 18:26:18,2020-12-24, NSYS,Nortech Systems Inc,Jones Christopher Dean,CFO,P - Purchase,$6.02,"+5,803","50,000",+13%,"+$34,913"
,2022-03-30 18:20:43,2022-03-29, EPAC,Enerpac Tool Group Corp,Dillon Ricky T,EVP-CFO,S - Sale,$22.41,"-8,955","85,261",-10%,"-$200,663"
M,2022-03-30 18:12:54,2022-03-28, RDI,Reading International Inc,Cotter Ellen M,"Vice Chair, Pres, CEO, 10%",S - Sale,$4.30,"-8,250","2,115,953",0%,"-$35,465"
,2022-03-30 18:11:36,2022-03-29, AKAM,Akamai Technologies Inc,McGowan Edward J,CFO,S - Sale,$120.00,"-3,805","15,348",-20%,"-$456,600"
,2022-03-30 17:50:57,2022-03-28, NUVA,Nuvasive Inc,Barry James Christopher,CEO,S - Sale,$55.00,"-5,000","55,218",-8%,"-$275,000"
DM,2022-03-30 17:34:22,2022-03-28, XMTR,"Xometry Inc.",Rallo James M,CFO,S - Sale+OE,$35.01,"-23,529","21,687",-52%,"-$823,850"
D,2022-03-30 17:16:00,2022-03-29, NET,"Cloudflare Inc.",Seifert Thomas J,CFO,S - Sale+OE,$129.35,"-10,000","86,433",-10%,"-$1,293,468"
D,2022-03-30 17:05:59,2022-03-29, DOCU,"Docusign Inc.",Olrich Scott V.,COO,S - Sale+OE,$110.14,"-13,335","270,978",-5%,"-$1,468,690"
,2022-03-30 17:01:41,2022-03-29, EPR,Epr Properties,Peterson Mark Alan,"EVP, CFO",S - Sale,$55.02,"-4,543","98,700",-4%,"-$249,956"
,2022-03-30 16:58:05,2022-03-28, OXY,Occidental Petroleum Corp /de/,Hollub Vicki A.,"Pres, CEO",P - Purchase,$56.24,"+14,191","490,672",+3%,"+$798,102"
D,2022-03-30 16:50:37,2022-03-29, CRM,"Salesforce.Com Inc.",Benioff Marc,"COB, co-CEO",S - Sale+OE,$219.93,"-2,300","28,918,241",0%,"-$505,839"
D,2022-03-30 16:48:44,2022-03-28, MYPS,"Playstudios Inc.",Pascal Andrew S,"COB, CEO, 10%",P - Purchase,$4.62,"+13,000","12,594,032",0%,"+$60,102"
D,2022-03-30 16:45:44,2022-03-29, HONE,"Harborone Bancorp Inc.",Blake James W.,CEO,S - Sale+OE,$14.33,"-49,389","288,840",-15%,"-$707,976"
D,2022-03-30 16:42:09,2022-03-29, REGN,"Regeneron Pharmaceuticals Inc.",Landry Robert E,EVP Finance CFO,S - Sale+OE,$687.90,"-2,683","28,973",-8%,"-$1,845,630"
M,2022-03-30 16:33:19,2022-03-28, AVGO,Broadcom Inc.,Spears Kirsten M.,"VP CFO, Chief Accounting Ofcr",S - Sale,$630.01,"-5,000","34,546",-13%,"-$3,150,025"
,2022-03-30 16:32:26,2022-03-30, RKT,"Rocket Companies Inc.",Farner Jay,CEO,P - Purchase,$11.20,"+8,900","1,713,307",+1%,"+$99,645"
,2022-03-30 16:26:42,2022-03-28, ENPH,"Enphase Energy Inc.",Kothandaraman Badrinarayanan,"Pres, CEO",S - Sale,$200.01,"-37,500","988,302",-4%,"-$7,500,356"
DM,2022-03-30 16:25:18,2022-03-28, EXPI,"Exp World Holdings Inc.",Sanford Glenn Darrel,"CEO, COB, 10%",S - Sale+OE,$22.57,"-18,000","42,034,338",0%,"-$406,238"
,2022-03-30 16:16:40,2022-03-28, AMP,Ameriprise Financial Inc,Berman Walter Stanley,"EVP, CFO",S - Sale,$312.01,"-8,711","11,098",-44%,"-$2,717,958"
M,2022-03-30 16:05:59,2022-03-29, ZDPY,"Zoned Properties Inc.",McLaren Bryan,"CEO, CFO",P - Purchase,$0.77,"+7,500","40,000",+23%,"+$5,765"
,2022-03-30 16:05:14,2022-03-28, YMTX,"Yumanity Therapeutics Inc.",Peters Richard,"Pres, CEO",S - Sale,$1.85,"-10,715","115,708",-8%,"-$19,775"
D,2022-03-30 15:26:01,2022-03-29, MCB,Metropolitan Bank Holding Corp.,Defazio Mark R,"Pres, CEO",S - Sale+OE,$106.12,"-2,239","84,588",-3%,"-$237,607"
D,2022-03-30 15:24:09,2022-03-29, MCB,Metropolitan Bank Holding Corp.,Defazio Mark R,"Pres, CEO",S - Sale+OE,$106.41,"-2,467","86,827",-3%,"-$262,502"
D,2022-03-30 15:22:02,2022-03-29, MCB,Metropolitan Bank Holding Corp.,Defazio Mark R,"Pres, CEO",S - Sale+OE,$106.64,"-3,974","89,294",-4%,"-$423,767"
D,2022-03-30 15:18:15,2022-03-29, MCB,Metropolitan Bank Holding Corp.,Defazio Mark R,"Pres, CEO",S - Sale+OE,$106.86,"-5,336","93,268",-5%,"-$570,193"
,2022-03-30 14:48:21,2022-03-28, LMB,"Limbach Holdings Inc.",Brooks Jayme L.,"EVP, CFO",P - Purchase,$6.89,"+2,170","53,197",+4%,"+$14,951"
DM,2022-03-30 14:42:37,2022-03-28, AIR,Aar Corp,Holmes John McClain III,"Pres, CEO",S - Sale+OE,$48.27,"-32,619","244,041",-12%,"-$1,574,355"
,2022-03-30 14:41:07,2022-03-29, OGEN,Oragenics Inc,Sullivan Michael O'Keefe,"Interim PEO, CFO",P - Purchase,$0.35,"+20,000","34,255",+140%,"+$6,922"
M,2022-03-30 12:51:47,2022-03-28, WM,Waste Management Inc,Fish James C Jr,"Pres, CEO",S - Sale,$158.21,"-35,724","209,502",-15%,"-$5,651,757"
,2022-03-30 12:47:38,2022-03-29, EDSA,"Edesa Biotech Inc.",Nijhawan Pardeep,"CEO, 10%",P - Purchase,$3.02,"+2,000","3,288,285",0%,"+$6,034"
,2022-03-30 12:11:34,2022-03-28, RMBS,Rambus Inc,Seraphin Luc,"Pres, CEO",S - Sale,$32.30,"-12,500","276,182",-4%,"-$403,778"
D,2022-03-30 12:04:05,2022-03-29, WLK,Westlake Corp,Bender Mark Steven,"EVP, CFO",S - Sale+OE,$122.44,"-4,000","30,725",-12%,"-$489,748"
,2022-03-30 07:38:32,2022-03-28, IRMD,Iradimed Corp,Susi Roger E.,"Pres, CEO, COB, 10%",S - Sale,$52.95,"-10,000","5,397,950",0%,"-$529,546"
,2022-03-30 07:20:14,2022-03-29, TCON,"Tracon Pharmaceuticals Inc.",Brown Scott B.,CFO,P - Purchase,$2.82,"+1,000","8,628",+13%,"+$2,820"
D,2022-03-29 21:34:41,2022-03-25, PD,"Pagerduty Inc.",Wilson Howard,CFO,S - Sale+OE,$35.35,"-60,336","316,603",-16%,"-$2,132,884"
AD,2022-03-29 21:24:03,2022-02-10, PD,"Pagerduty Inc.",Wilson Howard,CFO,S - Sale+OE,$34.13,"-23,164","326,939",-7%,"-$790,530"
M,2022-03-29 20:59:36,2022-03-25, OTIC,"Otonomy Inc.",Weber David Allen,"Pres, CEO",S - Sale,$2.40,"-19,269","399,375",-5%,"-$46,295"
M,2022-03-29 20:31:04,2022-03-25, INSP,"Inspire Medical Systems Inc.",Herbert Timothy P.,"CEO, Pres",S - Sale,$250.52,"-130,000","232,737",-36%,"-$32,568,000"
D,2022-03-29 20:05:35,2022-03-28, NTRA,"Natera Inc.",Schueren Robert Alan,COO,S - Sale+OE,$39.63,"-1,382","90,105",-2%,"-$54,767"
D,2022-03-29 20:05:18,2022-03-28, NTRA,"Natera Inc.",Chapman Steven Leonard,"CEO, Pres",S - Sale+OE,$39.63,"-2,605","60,676",-4%,"-$103,233"
D,2022-03-29 20:05:12,2022-03-28, NTRA,"Natera Inc.",Brophy Michael Burkes,CFO,S - Sale+OE,$39.63,-915,"161,413",-1%,"-$36,260"
D,2022-03-29 19:45:40,2022-03-25, ISEE,"Iveric Bio Inc.",Carroll David Francis,CFO,S - Sale+OE,$17.02,"-16,772","62,935",-21%,"-$285,387"
