X,Filing Date,Trade Date,Ticker,Company Name,Insider Name,Title,Trade Type  ,Price,Qty,Owned,ΔOwn,Value
,2022/04/01 18:00,2022/03/30, ROIV,Roivant Sciences Ltd.,Gline Matthew,CEO,S - Sale,4.84,-33686,1412957,-2,-163 040 
,2022/04/01 17:54,2022/03/31, BXMT,Blackstone Mortgage Trust Inc.,Keenan Katharine A,CEO Pres,S - Sale,32.03,-992,131006,-1,-31 770 
DM,2022/04/01 17:46,2022/03/31, HPQ,Hp Inc,Myers Marie,CFO,S - Sale+OE,36.52,-25138,37719,-40,-918 027 
,2022/04/01 17:45,2022/04/01, HPQ,Hp Inc,Lores Enrique,Pres CEO,S - Sale,36.27,-34,585204,-5,-1 233 180 
,2022/04/01 17:39,2022/03/31, TWLO,Twilio Inc,Shipchandler Khozema,COO,S - Sale,167.95,-1604,101763,-2,-269 383 
,2022/04/01 17:36,2022/03/30, FUSN,Fusion Pharmaceuticals Inc.,Valliant John,CEO,S - Sale,7.52,-300,366960,0,-2 256 
,2022/04/01 17:27,2022/03/30, MDV.P,Modiv Inc.,Halfacre Aaron Scott,CEO,P - Purchase,24.67,250,250,New,6 168 
,2022/04/01 17:26,2022/03/30, MPW,Medical Properties Trust Inc,Aldag Edward K Jr,COB Pres CEO,S - Sale,21.33,-615,3497206,-15,-13 117 950 
D,2022/04/01 17:22,2022/03/31, CRKR,Creek Road Miners Inc.,Kaufman Scott D,CEO Pres 10%,S - Sale+OE,2.66,-18,1202523,-1,-47 950 
D,2022/04/01 17:14,2022/04/01, VTR,Ventas Inc.,Cafaro Debra A,COB CEO,S - Sale+OE,62.49,-174,904103,-2,-1 087 326 
,2022/04/01 17:05,2022/03/31, VFF,Village Farms International Inc.,Degiglio Michael A,CEO 10%,S - Sale,5.32,-90,9259529,-1,-478 602 
D,2022/04/01 16:55,2022/03/31, V,Visa Inc.,Kelly Alfred F Jr,COB CEO,S - Sale+OE,223.91,-9,168887,-5,-2 015 190 
,2022/04/01 16:47,2022/03/31, SO,Southern Co,Wilson Anthony L,Pres CEO MPC,S - Sale,73.00,-685,84817,-7,-500 050 
,2022/04/01 16:47,2022/04/01, ED,Consolidated Edison Inc,Cawley Timothy,COB Pres CEO,P - Purchase,94.38,80,17695,0,7 550 
,2022/04/01 16:45,2022/03/30, NEM,Newmont Corp /de/,Buese Nancy,EVP CFO,S - Sale,79.00,-10,78374,-11,-790 000 
M,2022/04/01 16:45,2022/03/30, AMZN,Amazon Com Inc,Selipsky Adam,CEO Amazon Web Services,S - Sale,3348.08,-69,22296,0,-231 017 
,2022/04/01 16:45,2022/03/30, SMCI,Super Micro Computer Inc.,Liang Charles,Pres CEO 10%,S - Sale,41.17,-39612,6701922,-1,-1 630 657 
M,2022/04/01 16:44,2022/03/31, RKT,Rocket Companies Inc.,Farner Jay,CEO,P - Purchase,11.10,22,1735307,1,244 215 
DM,2022/04/01 16:36,2022/03/30, ACRG.,Acreage Holdings Inc.,Caldini Filippo,CEO,S - Sale+OE,1.57,-51853,703703,-7,-81 583 
DM,2022/04/01 16:34,2022/03/30, ACRG.,Acreage Holdings Inc.,Daino Robert,COO,S - Sale+OE,1.61,-3223,1421792,-2,-51 872 
,2022/04/01 16:20,2022/03/31, PTCT,Ptc Therapeutics Inc.,Hill Emily Luisa,CFO,S - Sale,37.78,-791,29259,-21,-298 824 
,2022/04/01 16:18,2022/03/31, CRVS,Corvus Pharmaceuticals Inc.,Miller Richard A Md,Pres CEO,P - Purchase,1.64,15,1369229,1,24 534 
,2022/04/01 16:16,2022/03/30, NBSE,Neubase Therapeutics Inc.,Mann William Roland,COO,P - Purchase,1.92,62,11200,124,11 904 
M,2022/04/01 16:15,2022/03/30, AAIC,Arlington Asset Investment Corp.,Tonkel J Rock Jr,Pres CEO,P - Purchase,3.52,20,794848,3,70 370 
DM,2022/04/01 16:14,2022/03/30, EXPI,Exp World Holdings Inc.,Sanford Glenn Darrel,CEO COB 10%,S - Sale+OE,22.33,-18,42034338,0,-401 936 
D,2022/04/01 16:12,2022/03/31, LPI,Laredo Petroleum Inc.,Pigott M. Jason,Pres CEO,S - Sale+OE,81.88,-5531,125089,-4,-452 878 
,2022/04/01 16:10,2022/03/30, HZNP,Horizon Therapeutics Public Ltd Co,Walbert Timothy P,COB Pres CEO,S - Sale,105.26,-50,734511,-6,-5 262 787 
,2022/04/01 16:09,2022/04/01, GNRC,Generac Holdings Inc.,Jagdfeld Aaron,CEO,S - Sale,298.74,-5,630975,-1,-1 493 700 
D,2022/04/01 16:09,2022/04/01, FDS,Factset Research Systems Inc,Snow Frederick Philip,CEO,S - Sale+OE,435.37,-25,3988,-39,-1 088 425 
D,2022/04/01 16:07,2022/04/01, REGN,Regeneron Pharmaceuticals Inc.,Landry Robert E,EVP Finance CFO,S - Sale+OE,695.81,-316,28973,-1,-219 875 
M,2022/04/01 16:04,2022/03/30, MRNA,Moderna Inc.,Bancel Stephane,CEO,S - Sale,175.98,-19,21474787,0,-3 343 645 
D,2022/04/01 16:04,2022/03/30, ENTG,Entegris Inc,Edlund Todd James,EVP COO,S - Sale+OE,137.32,-24289,175399,-12,-3 335 408 
D,2022/04/01 16:02,2022/03/31, ENTG,Entegris Inc,Graves Gregory B,EVP CFO,S - Sale+OE,133.10,-12142,20980,-37,-1 616 092 
,2022/04/01 15:51,2022/04/01, NA,Lake Area Corn Processors LLC,Scott Alan Mundt,CEO,P - Purchase,2.70,65,76500,9,17 540 
DM,2022/04/01 14:56,2022/03/30, AIR,Aar Corp,Holmes John McClain III,Pres CEO,S - Sale+OE,49.01,-11765,244041,-5,-576 642 
D,2022/04/01 14:10,2022/03/31, WLK,Westlake Corp,Bender Mark Steven,EVP CFO,S - Sale+OE,124.35,-6021,30725,-16,-748 734 
,2022/04/01 14:08,2022/03/30, FRAF,Franklin Financial Services Corp /pa/,Hollar Mark R,CFO,P - Purchase,34.49,3,7758,0,103 
,2022/04/01 12:37,2022/03/31, REPX,Riley Exploration Permian Inc.,Riley Philip A,CFO EVP STRATEGY,P - Purchase,24.50,500,45092,1,12 250 
,2022/04/01 12:21,2022/04/01, DHIL,Diamond Hill Investment Group Inc,Brilliant Heather E,CEO,S - Sale,187.30,-297,38814,-1,-55 628 
,2022/04/01 12:17,2022/04/01, DHIL,Diamond Hill Investment Group Inc,Line Thomas Edward,CFO,S - Sale,187.30,-166,21263,-1,-31 092 
,2022/04/01 10:56,2022/03/31, EDSA,Edesa Biotech Inc.,Nijhawan Pardeep,CEO 10%,P - Purchase,2.99,2,3292285,0,5 972 
D,2022/04/01 08:35,2022/03/31, LCII,Lci Industries,Lippert Jason,"Presamp, CEO",P - Purchase,108.00,9265,298992,3,1 000 620 
,2022/04/01 06:05,2022/03/30, TCON,Tracon Pharmaceuticals Inc.,Theuer Charles,Pres CEO,P - Purchase,2.70,4,224518,2,10 800 
,2022/03/31 21:46,2022/03/30, TMC,Tmc the Metals Co Inc.,Barron Gerard,CEO,P - Purchase,2.19,23,15291809,0,50 370 
,2022/03/31 21:33,2022/03/29, GIII,G III Apparel Group Ltd /de/,Nackman Neal,CFO Treas,S - Sale,29.06,-15,95625,-14,-435 900 
,2022/03/31 20:51,2022/03/31, ORIC,Oric Pharmaceuticals Inc.,Piscitelli Dominic,CFO,P - Purchase,5.36,60,60000,New,321 624 
D,2022/03/31 20:38,2022/03/29, DEA,Easterly Government Properties Inc.,Trimble William C.,Pres CEO,S - Sale+OE,21.40,-7,91279,-7,-149 800 
,2022/03/31 20:18,2022/03/29, BLFS,Biolife Solutions Inc,Rice Michael,CEO,S - Sale,22.24,-830,327155,0,-18 459 
,2022/03/31 20:04,2022/03/29, AXNX,Axonics Inc.,Cohen Raymond W,CEO,S - Sale,60.00,-50,193635,-21,-3 000 000 
,2022/03/31 19:46,2022/03/28, MULN,Mullen Automotive Inc.,Michery David,CEO Pres 10%,S - Sale,2.48,-300,8661066,-3,-744 116 
D,2022/03/31 19:38,2022/03/29, TW,Tradeweb Markets Inc.,Olesky Lee,CEO,S - Sale+OE,90.59,-500,270377,0,-45 294 
D,2022/03/31 19:22,2022/03/31, CRM,Salesforce.Com Inc.,Benioff Marc,COB co-CEO,S - Sale+OE,214.30,-23,28918241,0,-492 887 
,2022/03/31 19:08,2022/03/29, MMI,Marcus & Millichap Inc.,Nadji Hessam,CEO,S - Sale,50.27,-10,175058,-5,-502 691 
,2022/03/31 18:30,2022/03/29, SWKS,Skyworks Solutions Inc.,Griffin Liam,COB CEO Pres,S - Sale,140.00,-10,65296,-13,-1 400 000 
,2022/03/31 18:18,2022/03/29, KFRC,Kforce Inc,Kelly David M,EVP CFO,S - Sale,75.44,-5,96407,-5,-377 200 
,2022/03/31 17:45,2022/03/29, RLAY,Relay Therapeutics Inc.,Catinazzo Thomas,CFO,S - Sale,29.87,-282,53977,-1,-8 423 
,2022/03/31 17:32,2022/03/31, SSRM,Ssr Mining Inc.,White Alison Lynn,CFO,S - Sale,22.07,-4223,45808,-8,-93 202 
M,2022/03/31 17:29,2022/03/29, TRU,Transunion,Cello Todd M,EVP CFO,S - Sale,105.00,-392,73442,-1,-41 160 
D,2022/03/31 17:16,2022/03/29, LIVN,Livanova Plc,McDonald Damien,CEO,S - Sale+OE,81.50,-2784,85969,-3,-226 896 
,2022/03/31 17:05,2022/03/29, NVST,Envista Holdings Corp,Aghdaei Amir,CEO,S - Sale,51.66,-10538,364779,-3,-544 391 
,2022/03/31 17:01,2022/03/31, AOUT,American Outdoor Brands Inc.,Fulmer Hugh Andrew,EVP CFO Treasurer,P - Purchase,13.55,37,52273,8,50 152 
,2022/03/31 17:00,2022/03/29, VRM,Vroom Inc.,Hennessy Paul J.,CEO,S - Sale,2.94,-19389,326989,-6,-57 087 
DM,2022/03/31 16:55,2022/03/30, SO,Southern Co,Greene Kimberly S,COB Pres CEO GAS,S - Sale+OE,72.70,-100005,123120,-45,-7 270 532 
D,2022/03/31 16:52,2022/03/30, ASMB,Assembly Biosciences Inc.,Samar Michael P.,CFO,S - Sale+OE,2.17,-2285,76748,-3,-4 953 
D,2022/03/31 16:48,2022/03/29, PZN,Pzena Investment Management Inc.,Pzena Richard Stanton,COB CEO Co-CIO,P - Purchase,5.45,779586,24783304,3,4 248 744 
D,2022/03/31 16:48,2022/03/29, PZN,Pzena Investment Management Inc.,Pzena Richard Stanton,COB CEO Co-CIO,S - Sale+OE,5.45,-779586,24783304,-3,-4 248 744 
D,2022/03/31 16:41,2022/03/30, ASMB,Assembly Biosciences Inc.,Okazaki Jason A,COO,S - Sale+OE,2.17,-1269,94614,-1,-2 750 
D,2022/03/31 16:40,2022/03/29, PINS,Pinterest Inc.,Morgenfeld Todd R,CFO,S - Sale+OE,26.37,-53016,641025,-8,-1 398 213 
,2022/03/31 16:39,2022/03/31, JNPR,Juniper Networks Inc,Leelanivas Manoj,EVP COO,S - Sale,38.00,-13366,108504,-11,-507 908 
D,2022/03/31 16:36,2022/03/30, ASMB,Assembly Biosciences Inc.,McHutchison John G,CEO Pres,S - Sale+OE,2.17,-4614,204829,-2,-10 000 
,2022/03/31 16:35,2022/03/29, USAU,U.S. Gold Corp.,Bee George M,CEO Pres,P - Purchase,7.15,1567,389527,0,11 204 
,2022/03/31 16:33,2022/03/29, RCL,Royal Caribbean Cruises Ltd,Bayley Michael W,PresCEORoyal Caribbean Intl,S - Sale,80.00,-3637,116951,-3,-290 960 
,2022/03/31 16:33,2022/03/30, PXD,Pioneer Natural Resources Co,Shah Neal H,SVP CFO,S - Sale,256.97,-35,19376,-15,-899 392 
D,2022/03/31 16:32,2022/03/29, VTR,Ventas Inc.,Cafaro Debra A,COB CEO,S - Sale+OE,63.40,-69602,904103,-7,-4 412 976 
DM,2022/03/31 16:30,2022/03/28, SEDG,Solaredge Technologies Inc.,Lando Zvi,CEO,S - Sale+OE,332.74,-45199,45231,-50,-15 039 558 
,2022/03/31 16:30,2022/03/29, NXRT,Nexpoint Residential Trust Inc.,Mitts Brian,CFO EVP Finance Secy Treas,S - Sale,90.80,-11,77488,-1,-99 880 
,2022/03/31 16:25,2022/03/31, LFT,Lument Finance Trust Inc.,Briggs James A,CFO,P - Purchase,2.73,5,48750,11,13 645 
D,2022/03/31 16:22,2022/03/29, TTD,Trade Desk Inc.,Grayson Blake Jeffrey,CFO,S - Sale+OE,72.50,-6084,151803,-4,-441 090 
D,2022/03/31 16:17,2022/03/30, CRM,Salesforce.Com Inc.,Benioff Marc,COB co-CEO,S - Sale+OE,216.02,-23,28918241,0,-496 849 
,2022/03/31 16:04,2022/03/30, FHI,Federated Hermes Inc.,Donahue Thomas R,VP CFO Treasurer,S - Sale,34.18,-30,1122274,-3,-1 025 511 
M,2022/03/31 16:03,2022/03/29, DV,Doubleverify Holdings Inc.,Zagorski Mark,CEO,P - Purchase,25.64,19846,310422,7,508 844 
,2022/03/31 14:24,2022/03/29, CMPS,Compass Pathways Plc,Goldsmith George Jay,CEO 10%,S - Sale,12.48,-12744,8552398,0,-159 045 
D,2022/03/31 13:45,2022/03/29, CTAS,Cintas Corp,Hansen J. Michael,VP CFO,S - Sale+OE,424.24,-82,81110,-9,-3 478 725 
D,2022/03/31 12:16,2022/03/30, KN,Knowles Corp,Anderson John S.,SVP CFO,S - Sale+OE,22.77,-25,135882,-16,-569 250 
D,2022/03/31 11:59,2022/03/30, MCB,Metropolitan Bank Holding Corp.,Defazio Mark R,Pres CEO,S - Sale+OE,106.51,-26,81988,-3,-276 935 
M,2022/03/31 11:43,2022/03/29, BROS,Dutch Bros Inc.,Maxwell Brian,COO,S - Sale,63.73,-42,1279620,-3,-2 676 490 
D,2022/03/31 11:18,2022/03/30, WLK,Westlake Corp,Bender Mark Steven,EVP CFO,S - Sale+OE,124.80,-6,30725,-16,-748 810 
,2022/03/31 10:52,2022/03/30, EDSA,Edesa Biotech Inc.,Nijhawan Pardeep,CEO 10%,P - Purchase,3.05,2,3290285,0,6 098 
D,2022/03/30 21:32,2021/09/13, JAGX,Jaguar Health Inc.,Lizak Carol R.,CFO,P - Purchase,2.51,7968,7968,New,20 000 
D,2022/03/30 21:26,2021/09/13, JAGX,Jaguar Health Inc.,Conte Lisa A,CEO Pres,P - Purchase,2.51,7968,8003,>999,20 000 
D,2022/03/30 20:33,2022/03/28, PRVA,Privia Health Group Inc.,Mehrotra Parth,Pres COO,S - Sale+OE,25.09,-20,97391,-17,-501 800 
,2022/03/30 20:27,2022/03/30, SBOW,Silverbow Resources Inc.,Woolverton Sean C,CEO,S - Sale,35.14,-10,250721,-4,-351 400 
,2022/03/30 19:57,2022/03/29, NEXI,Neximmune Inc.,Jones Kristi,Pres CEO,P - Purchase,3.74,10,73078,16,37 400 
,2022/03/30 19:32,2022/03/30, TMC,Tmc the Metals Co Inc.,Shesky Craig,CFO,P - Purchase,1.80,15,678316,2,26 979 
,2022/03/30 18:59,2022/03/28, TRUP,Trupanion Inc.,Rawlings Darryl,CEO,S - Sale,90.80,-4,857109,0,-363 200 
D,2022/03/30 18:51,2022/03/29, ESS,Essex Property Trust Inc.,Kleiman Angela L.,Sr. EVP COO,S - Sale+OE,354.21,-6309,8110,-44,-2 234 710 
D,2022/03/30 18:48,2022/03/29, ESS,Essex Property Trust Inc.,Schall Michael J,Pres CEO,S - Sale+OE,349.19,-12132,51384,-19,-4 236 373 
DM,2022/03/30 18:31,2022/03/28, DASH,Doordash Inc.,Payne Christopher D,Pres COO,S - Sale+OE,114.66,-44,304402,-13,-5 044 932 
,2022/03/30 18:26,2020/12/24, NSYS,Nortech Systems Inc,Jones Christopher Dean,CFO,P - Purchase,6.02,5803,50000,13,34 913 
,2022/03/30 18:20,2022/03/29, EPAC,Enerpac Tool Group Corp,Dillon Ricky T,EVP-CFO,S - Sale,22.41,-8955,85261,-10,-200 663 
M,2022/03/30 18:12,2022/03/28, RDI,Reading International Inc,Cotter Ellen M,Vice Chair Pres CEO 10%,S - Sale,4.30,-825,2115953,0,-35 465 
,2022/03/30 18:11,2022/03/29, AKAM,Akamai Technologies Inc,McGowan Edward J,CFO,S - Sale,120.00,-3805,15348,-20,-456 600 
,2022/03/30 17:50,2022/03/28, NUVA,Nuvasive Inc,Barry James Christopher,CEO,S - Sale,55.00,-5,55218,-8,-275 000 
DM,2022/03/30 17:34,2022/03/28, XMTR,Xometry Inc.,Rallo James M,CFO,S - Sale+OE,35.01,-23529,21687,-52,-823 850 
D,2022/03/30 17:16,2022/03/29, NET,Cloudflare Inc.,Seifert Thomas J,CFO,S - Sale+OE,129.35,-10,86433,-10,-1 293 468 
D,2022/03/30 17:05,2022/03/29, DOCU,Docusign Inc.,Olrich Scott V.,COO,S - Sale+OE,110.14,-13335,270978,-5,-1 468 690 
,2022/03/30 17:01,2022/03/29, EPR,Epr Properties,Peterson Mark Alan,EVP CFO,S - Sale,55.02,-4543,98700,-4,-249 956 
,2022/03/30 16:58,2022/03/28, OXY,Occidental Petroleum Corp /de/,Hollub Vicki A.,Pres CEO,P - Purchase,56.24,14191,490672,3,798 102 
D,2022/03/30 16:50,2022/03/29, CRM,Salesforce.Com Inc.,Benioff Marc,COB co-CEO,S - Sale+OE,219.93,-23,28918241,0,-505 839 
D,2022/03/30 16:48,2022/03/28, MYPS,Playstudios Inc.,Pascal Andrew S,COB CEO 10%,P - Purchase,4.62,13,12594032,0,60 102 
D,2022/03/30 16:45,2022/03/29, HONE,Harborone Bancorp Inc.,Blake James W.,CEO,S - Sale+OE,14.33,-49389,288840,-15,-707 976 
D,2022/03/30 16:42,2022/03/29, REGN,Regeneron Pharmaceuticals Inc.,Landry Robert E,EVP Finance CFO,S - Sale+OE,687.90,-2683,28973,-8,-1 845 630 
M,2022/03/30 16:33,2022/03/28, AVGO,Broadcom Inc.,Spears Kirsten M.,VP CFO Chief Accounting Ofcr,S - Sale,630.01,-5,34546,-13,-3 150 025 
,2022/03/30 16:32,2022/03/30, RKT,Rocket Companies Inc.,Farner Jay,CEO,P - Purchase,11.20,89,1713307,1,99 645 
,2022/03/30 16:26,2022/03/28, ENPH,Enphase Energy Inc.,Kothandaraman Badrinarayanan,Pres CEO,S - Sale,200.01,-375,988302,-4,-7 500 356 
DM,2022/03/30 16:25,2022/03/28, EXPI,Exp World Holdings Inc.,Sanford Glenn Darrel,CEO COB 10%,S - Sale+OE,22.57,-18,42034338,0,-406 238 
,2022/03/30 16:16,2022/03/28, AMP,Ameriprise Financial Inc,Berman Walter Stanley,EVP CFO,S - Sale,312.01,-8711,11098,-44,-2 717 958 
M,2022/03/30 16:05,2022/03/29, ZDPY,Zoned Properties Inc.,McLaren Bryan,CEO CFO,P - Purchase,0.77,75,40000,23,5 765 
,2022/03/30 16:05,2022/03/28, YMTX,Yumanity Therapeutics Inc.,Peters Richard,Pres CEO,S - Sale,1.85,-10715,115708,-8,-19 775 
D,2022/03/30 15:26,2022/03/29, MCB,Metropolitan Bank Holding Corp.,Defazio Mark R,Pres CEO,S - Sale+OE,106.12,-2239,84588,-3,-237 607 
D,2022/03/30 15:24,2022/03/29, MCB,Metropolitan Bank Holding Corp.,Defazio Mark R,Pres CEO,S - Sale+OE,106.41,-2467,86827,-3,-262 502 
D,2022/03/30 15:22,2022/03/29, MCB,Metropolitan Bank Holding Corp.,Defazio Mark R,Pres CEO,S - Sale+OE,106.64,-3974,89294,-4,-423 767 
D,2022/03/30 15:18,2022/03/29, MCB,Metropolitan Bank Holding Corp.,Defazio Mark R,Pres CEO,S - Sale+OE,106.86,-5336,93268,-5,-570 193 
,2022/03/30 14:48,2022/03/28, LMB,Limbach Holdings Inc.,Brooks Jayme L.,EVP CFO,P - Purchase,6.89,217,53197,4,14 951 
DM,2022/03/30 14:42,2022/03/28, AIR,Aar Corp,Holmes John McClain III,Pres CEO,S - Sale+OE,48.27,-32619,244041,-12,-1 574 355 
,2022/03/30 14:41,2022/03/29, OGEN,Oragenics Inc,Sullivan Michael O'Keefe,Interim PEO CFO,P - Purchase,0.35,20,34255,140,6 922 
M,2022/03/30 12:51,2022/03/28, WM,Waste Management Inc,Fish James C Jr,Pres CEO,S - Sale,158.21,-35724,209502,-15,-5 651 757 
,2022/03/30 12:47,2022/03/29, EDSA,Edesa Biotech Inc.,Nijhawan Pardeep,CEO 10%,P - Purchase,3.02,2,3288285,0,6 034 
,2022/03/30 12:11,2022/03/28, RMBS,Rambus Inc,Seraphin Luc,Pres CEO,S - Sale,32.30,-125,276182,-4,-403 778 
D,2022/03/30 12:04,2022/03/29, WLK,Westlake Corp,Bender Mark Steven,EVP CFO,S - Sale+OE,122.44,-4,30725,-12,-489 748 
,2022/03/30 07:38,2022/03/28, IRMD,Iradimed Corp,Susi Roger E.,Pres CEO COB 10%,S - Sale,52.95,-10,5397950,0,-529 546 
,2022/03/30 07:20,2022/03/29, TCON,Tracon Pharmaceuticals Inc.,Brown Scott B.,CFO,P - Purchase,2.82,1,8628,13,2 820 
D,2022/03/29 21:34,2022/03/25, PD,Pagerduty Inc.,Wilson Howard,CFO,S - Sale+OE,35.35,-60336,316603,-16,-2 132 884 
AD,2022/03/29 21:24,2022/02/10, PD,Pagerduty Inc.,Wilson Howard,CFO,S - Sale+OE,34.13,-23164,326939,-7,-790 530 
M,2022/03/29 20:59,2022/03/25, OTIC,Otonomy Inc.,Weber David Allen,Pres CEO,S - Sale,2.40,-19269,399375,-5,-46 295 
M,2022/03/29 20:31,2022/03/25, INSP,Inspire Medical Systems Inc.,Herbert Timothy P.,CEO Pres,S - Sale,250.52,-130,232737,-36,-32 568 000 
D,2022/03/29 20:05,2022/03/28, NTRA,Natera Inc.,Schueren Robert Alan,COO,S - Sale+OE,39.63,-1382,90105,-2,-54 767 
D,2022/03/29 20:05,2022/03/28, NTRA,Natera Inc.,Chapman Steven Leonard,CEO Pres,S - Sale+OE,39.63,-2605,60676,-4,-103 233 
D,2022/03/29 20:05,2022/03/28, NTRA,Natera Inc.,Brophy Michael Burkes,CFO,S - Sale+OE,39.63,-915,161413,-1,-36 260 
D,2022/03/29 19:45,2022/03/25, ISEE,Iveric Bio Inc.,Carroll David Francis,CFO,S - Sale+OE,17.02,-16772,62935,-21,-285 387 
D,2022/03/29 19:44,2022/03/25, ISEE,Iveric Bio Inc.,Sblendorio Glenn,CEO,S - Sale+OE,17.06,-18775,279689,-6,-320 302 
,2022/03/29 19:33,2022/03/28, ASMB,Assembly Biosciences Inc.,Okazaki Jason A,COO,S - Sale,2.24,-4617,64633,-7,-10 363 
,2022/03/29 18:31,2022/03/25, ROIV,Roivant Sciences Ltd.,Venker Eric,Pres COO,S - Sale,5.06,-80045,1308948,-6,-405 028 
,2022/03/29 18:29,2022/03/25, ROIV,Roivant Sciences Ltd.,Gline Matthew,CEO,S - Sale,5.06,-35386,1471897,-2,-179 053 
D,2022/03/29 18:21,2022/03/28, CRM,Salesforce.Com Inc.,Benioff Marc,COB co-CEO,S - Sale+OE,212.58,-23,28918241,0,-488 930 
D,2022/03/29 18:17,2022/03/25, PING,Ping Identity Holding Corp.,Durand Andre Wong,CEO Dir,S - Sale+OE,26.04,-100,413490,-19,-2 603 690 
,2022/03/29 18:12,2022/03/28, RBOT,Vicarious Surgical Inc.,Sachs Adam David,Pres CEO 10%,S - Sale,4.23,-8537,170527,-5,-36 112 
D,2022/03/29 18:12,2022/03/25, FDP,Fresh Del Monte Produce Inc,Bezerra Eduardo Guarita,SVP CFO,S - Sale+OE,26.31,-245,788,-24,-6 446 
DM,2022/03/29 18:09,2022/03/28, THG,Hanover Insurance Group Inc.,Roche John C,Pres CEO,S - Sale+OE,150.23,-7258,74843,-9,-1 090 397 
,2022/03/29 18:08,2022/03/25, ELVT,Elevate Credit Inc.,Greever Scott,COO,S - Sale,3.07,-15,80496,-16,-46 050 
DM,2022/03/29 18:06,2020/06/11, SBAC,Sba Communications Corp,Cavanagh Brendan Thomas,EVP CFO,P - Purchase,284.60,13,50819,0,3 700 
D,2022/03/29 18:06,2021/03/02, SBAC,Sba Communications Corp,Cavanagh Brendan Thomas,EVP CFO,S - Sale+OE,247.47,-3,50819,0,-742 
,2022/03/29 17:45,2022/03/25, MDV,Modiv Inc.,Pacini Raymond J,CFO,P - Purchase,17.25,1,1333,300,17 250 
,2022/03/29 17:43,2022/03/25, MDV,Modiv Inc.,Halfacre Aaron Scott,CEO,P - Purchase,17.65,8048,16763,92,142 033 
D,2022/03/29 17:40,2022/03/28, IMMR,Immersion Corp,Jose Francis,CEO GC,S - Sale+OE,5.26,-3915,25990,-13,-20 593 
,2022/03/29 17:28,2022/03/29, EA,Electronic Arts Inc.,Wilson Andrew,CEO Dir,S - Sale,128.58,-10,161114,-6,-1 285 813 
,2022/03/29 17:16,2022/03/25, DBX,Dropbox Inc.,Regan Timothy,CFO,S - Sale,23.23,-25,360324,-1,-58 075 
DM,2022/03/29 17:11,2022/03/25, ETR,Entergy Corp /de/,Marsh Andrew S,EVP CFO,S - Sale+OE,115.02,-32,105480,-23,-3 680 640 
DM,2022/03/29 17:10,2022/03/25, ETR,Entergy Corp /de/,Denault Leo P,COB CEO,S - Sale+OE,115.02,-37662,375267,-9,-4 331 854 
,2022/03/29 16:47,2022/03/16, PLMR,Palomar Holdings Inc.,Uchida T Christopher,CFO,S - Sale,62.20,-500,26425,-2,-31 100 
D,2022/03/29 16:46,2022/03/28, HONE,Harborone Bancorp Inc.,Blake James W.,CEO,S - Sale+OE,14.11,-50,288840,-15,-705 295 
,2022/03/29 16:42,2022/03/23, VIA,Via Renewables Inc.,Maxwell W Keith III,CEO 10%,P - Purchase,8.06,4,3555002,0,32 230 
D,2022/03/29 16:37,2022/03/26, TRNS,Transcat Inc,Rudow Lee D.,Pres CEO,S - Sale+OE,74.21,-521,126397,-4,-386 634 
